chunk_size,chunk_overlap,retriever,hit@5,mrr@5,num_queries
200,40,dense,1.0,0.9444444444444445,12
200,40,bm25,0.8333333333333334,0.8333333333333334,12
200,40,hybrid,1.0,0.8916666666666666,12
200,60,dense,1.0,0.9027777777777778,12
200,60,bm25,0.8333333333333334,0.8333333333333334,12
200,60,hybrid,0.9166666666666666,0.875,12
320,40,dense,1.0,0.9583333333333334,12
320,40,bm25,0.8333333333333334,0.7916666666666666,12
320,40,hybrid,1.0,0.9027777777777778,12
320,60,dense,1.0,0.9583333333333334,12
320,60,bm25,0.8333333333333334,0.7916666666666666,12
320,60,hybrid,1.0,0.9027777777777778,12
